image,steering,throttle,source,timestamp,can_drive,auto_enabled,mode,error,error_norm,lane_center,left_x,right_x,lane_width,lane_locked,visible_side,missing_side,contours
images/000001.jpg,-0.19791666666666666,0.5,opencv,1777621287.8476996,1,1,locked_both_hard,19,0.07916666666666666,259,85,433,348,1,both,none,2
images/000002.jpg,-0.3125,0.5,opencv,1777621287.9913774,1,1,locked_both_hard,30,0.125,270,101,440,344,1,both,none,2
images/000003.jpg,-0.35416666666666663,0.5,opencv,1777621288.1378548,1,1,locked_both_hard,34,0.14166666666666666,274,111,437,338,1,both,none,2
images/000004.jpg,-0.27083333333333337,0.5,opencv,1777621288.282025,1,1,locked_both_hard,26,0.10833333333333334,266,99,434,335,1,both,none,2
images/000005.jpg,-0.0625,0.5,opencv,1777621288.4246283,1,1,locked_both_hard,6,0.025,246,68,424,339,1,both,none,2
images/000006.jpg,0.1875,0.5,opencv,1777621288.571499,1,1,locked_both_hard,-18,-0.075,222,34,410,349,1,both,none,2
images/000007.jpg,0.3958333333333333,0.5,opencv,1777621288.7130394,1,1,locked_both_hard,-38,-0.15833333333333333,202,15,389,358,1,both,none,3
images/000008.jpg,0.3229166666666667,0.5,opencv,1777621288.8570602,1,1,locked_only_right_hard,-31,-0.12916666666666668,209,28,389,361,1,right,left,1
images/000009.jpg,0.35416666666666663,0.5,opencv,1777621288.9997494,1,1,locked_only_right_hard,-34,-0.14166666666666666,206,25,386,361,1,right,left,1
images/000010.jpg,0.4479166666666667,0.5,opencv,1777621289.141411,1,1,locked_only_right_hard,-43,-0.17916666666666667,197,16,377,361,1,right,left,1
images/000011.jpg,0.625,0.5,opencv,1777621289.285023,1,1,locked_only_right_hard,-60,-0.25,180,-1,360,361,1,right,left,1
images/000012.jpg,0.6354166666666666,0.5,opencv,1777621289.4264581,1,1,locked_only_right_hard,-61,-0.25416666666666665,179,-2,359,361,1,right,left,1
images/000013.jpg,0.6666666666666666,0.5,opencv,1777621289.570602,1,1,locked_only_right_hard,-64,-0.26666666666666666,176,-5,356,361,1,right,left,1
images/000014.jpg,0.5208333333333334,0.5,opencv,1777621289.714187,1,1,locked_only_right_hard,-50,-0.20833333333333334,190,9,370,361,1,right,left,2
images/000015.jpg,0.27083333333333337,0.5,opencv,1777621289.8589082,1,1,locked_only_right_hard,-26,-0.10833333333333334,214,33,394,361,1,right,left,1
images/000016.jpg,0.2604166666666667,0.5,opencv,1777621290.0019505,1,1,locked_only_right_hard,-25,-0.10416666666666667,215,34,395,361,1,right,left,1
images/000017.jpg,0.34375,0.5,opencv,1777621290.143714,1,1,locked_only_right_hard,-33,-0.1375,207,26,387,361,1,right,left,1
images/000018.jpg,0.4895833333333333,0.5,opencv,1777621290.2907627,1,1,locked_only_right_hard,-47,-0.19583333333333333,193,12,373,361,1,right,left,1
images/000019.jpg,0.7083333333333333,0.5,opencv,1777621290.4320881,1,1,locked_only_right_hard,-68,-0.2833333333333333,172,-9,352,361,1,right,left,1
images/000020.jpg,0.7604166666666666,0.47,opencv,1777621290.5734656,1,1,locked_only_right_hard,-73,-0.30416666666666664,167,-14,347,361,1,right,left,1
images/000021.jpg,0.53125,0.5,opencv,1777621290.71637,1,1,locked_only_right_hard,-51,-0.2125,189,8,369,361,1,right,left,1
images/000022.jpg,0.46875,0.5,opencv,1777621290.8575506,1,1,locked_only_right_hard,-45,-0.1875,195,14,375,361,1,right,left,1
